CountryID,country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
8,Albania,1.6880000000000002,1.715,1.743,1.7719999999999998,1.801,1.833,1.866,1.896,1.936,1.971,1.993,2.066,2.086,2.069,2.002,1.992,2.053,1.984,1.909,2.061,1.84,1.327,1.245,1.386,1.524,1.746,1.914,1.706,1.85,2.081,2.221,2.405,2.516,2.662,2.821,2.995,3.198,3.423,3.719,3.882,4.056,4.1789999999999985,4.248,4.292,4.365,4.459,4.604
40,Austria,19.471,20.375,21.552,22.528,23.357,23.238000000000003,24.292,25.54,25.515,26.917,27.412,27.391,27.951,28.778,28.777,29.467,30.104,30.456,31.38,32.482,33.73,34.672,35.135,35.046,35.639,36.393,37.137,37.885,39.194,40.55,41.822,42.237,42.743,42.848,43.788,44.526,45.845,47.351000000000006,47.93,45.935,46.599,47.625,47.655,47.379,47.378,47.584,48.103
112,Belarus,,,,,,,,,,,,,,,,,,,,,3.104,3.0580000000000003,2.765,2.5610000000000004,2.267,2.037,2.1,2.3480000000000003,2.557,2.657,2.826,2.978,3.148,3.391,3.804,4.187,4.628,5.045,5.579,5.6,6.0420000000000025,6.38,6.489,6.546,6.6560000000000015,6.4,6.235
56,Belgium,20.154,20.843000000000004,21.872,23.144,24.051,23.672,24.951,25.051,25.711,26.266,27.402,27.29300000000001,27.43,27.493,28.147,28.582,29.068,29.698,31.048,32.056999999999995,32.976,33.47,33.852,33.392,34.343,35.056999999999995,35.539,36.802,37.479,38.747,40.05,40.231,40.766,40.868,42.106,42.716,43.487,44.658,44.668,43.335,44.205,44.69600000000001,44.51600000000001,44.334,44.662,45.01300000000001,45.39
100,Bulgaria,1.901,2.02,2.162,2.326,2.489,2.696,2.861,3.03,3.19,3.392,3.576,3.74,3.816,3.937,4.064,4.17,4.346,4.6160000000000005,5.135,4.988,4.562,4.212,3.947,3.934,4.0539999999999985,4.217,3.861,3.856,4.026,3.817,4.041,4.228,4.516,4.787,5.135,5.5429999999999975,5.97,6.4579999999999975,6.898,6.699,6.835,7.0120000000000005,7.058,7.162000000000001,7.301,7.612999999999999,7.963999999999999
191,Croatia,,,,,,,,,,,,,,,,,,,,,11.431,9.051,8.037,7.447999999999999,7.952000000000001,8.57,9.157,9.857,10.131,10.116,10.564,10.976,11.585,12.248,12.762,13.311,13.972,14.72,15.056,13.981,13.823,13.825,13.568,13.539,13.591,13.98,14.473
196,Cyprus,7.524,8.4,8.878,9.003,9.127,7.661,9.117,10.563,11.323,12.351,12.944,13.173,13.845999999999998,14.394,15.453,15.99,16.405,17.373,18.613,19.828,20.925,20.518,21.875,21.493,22.265,24.035,23.98,24.246,25.196,26.124,27.333,28.006,28.619,28.991,29.894,30.564,31.414,32.235,32.65,31.222,30.817,30.137,28.773000000000003,27.129,27.044,27.75800000000001,28.556
208,Denmark,30.527,31.25,32.291,33.434,32.9,32.284,34.072,34.602,35.285,36.586,36.372,36.12,37.465,38.466,40.096,41.716,43.758,43.847,43.797,44.012,44.567,45.06800000000001,45.801,45.637,47.881,49.129,50.341,51.757,52.679,54.014,55.834,56.117,56.224,56.294,57.628,58.768,60.81399999999999,61.07899999999999,60.459,57.194,57.967,58.447,58.289,58.549,59.223,59.913,60.842
233,Estonia,,,,,,,,,,,,,,,,,,,,,9.597,8.926,7.164,6.901,6.907,7.322999999999999,7.796,8.766,9.148,9.086,10.08,10.775,11.504,12.446,13.32,14.681,16.265,17.593,16.694000000000006,14.277,14.64,15.796,16.52,16.883,17.413,17.746,18.152
246,Finland,18.466,18.782,20.121,21.359,21.897,22.056,22.096,22.116,22.757,24.324,25.613000000000003,25.82800000000001,26.487,27.161,27.885,28.736,29.405,30.353,31.84,33.351,33.449,31.327,30.13,29.751,30.769,31.927,32.979,34.941,36.74800000000001,38.295,40.359,41.301,41.89100000000001,42.614,44.159,45.243,46.911,49.153,49.303,45.034,46.181,47.163,46.286,45.735,45.254,45.067,45.75899999999999
