CountryID,country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
8,Albania,2246171142,2336389841,2430221368,2526612062,2629375880,2734937971,2839332060,2963421115,3077753242,3176974319,3368739234,3448050796,3493926558,3692784255,3818386393,3837811822,4012095257,4180849487,4167136294,4404141513,4721507560,4220753235,5102896962,5081800879,5031155648,5277371079,5944454980,5296465756,5755759301,5954009247,6037672997,6333769215,6768419976,7348024553,7626290051,8023756296,8472414454,9447722773,10338818538,10448779669,10646796394,10821046740,10834652616,11047439709,11405940219,11507302903,11762814625
40,Austria,110893641741,117248248244,123731109924,129560037576,134392132972,139028702415,145236091016,153495013657,151944018440,158695613423,162473518208,164798801837,168586640620,176043446699,173611304579,176573316466,180183320248,183373622112,187463647007,193203069493,200294097106,206315711676,213260432561,215577906690,220520933257,223460711916,228883858563,231411826064,238151438436,244509689275,249959464668,252153863685,254119284546,258036572507,263422259927,269165355340,275660111297,278857295774,283337540548,286434933880,288570421438,291298277831,292481756640,292744575164,292812587803,294484616994,299224557961
112,Belarus,,,,,,,,,,,,,,,,,,,,,23756619641,22176259175,19152212926,17609281347,16179807240,15087849682,15338750916,16701187538,18357093053,19725904560,21078759048,23213729116,24581567109,25574126152,26891340815,29255438158,31535262771,34213156985,38162525026,38155423175,41016074816,41347709427,44479553445,47822277134,49189595542,48234801289,46847321582
56,Belgium,153828930753,161706896135,171262581929,183627992043,189138709778,193008661452,201918015368,206992170869,214582978385,223672200976,223813962738,226820188687,229920996944,230177504646,230908575133,237361685246,242659609198,247704102584,252587234159,259155182098,264405333445,272918746206,277770201536,276720754037,282442006191,286810564349,292376473774,296549985757,303803947060,309851981767,318930167737,322150470193,325721632269,328315049180,333476120582,336958954362,341361874557,347761995666,354943576838,357462160054,365133227199,367415041510,370535974633,372782212269,375116778202,377969046091,382867586170
100,Bulgaria,14686975207,15698336730,16903696025,18283441381,19655139686,21408804105,22789472870,24180259394,25660075532,27225437281,28638781907,30620756962,32141319511,33640327994,34599255433,35879378589,37109148238,39213636421,40821560192,39775113884,42053469629,33407964003,31800322636,30314834829,28684773441,27938941617,25056456480,21157422710,22346680806,23920535629,25595311557,27091394180,28280584589,30199507014,32680433422,34566527721,37289570019,40812264859,42049580624,40023239155,40630864079,41444866234,42259206823,41473159341,42392076125,44021637232,45474404327
191,Croatia,,,,,,,,,,,,,,,,,,,,,43059930272,35570328669,28348963470,27817171185,27856454995,33795806171,34007901070,37231630769,37230885044,36665698791,37178175069,37908421026,40762999016,42184786021,43787020114,45418464773,47109549186,50090209145,50504340759,47897344085,47291674970,47361421159,46191027503,45652775552,45215996199,45487475581,46808203822
196,Cyprus,2901735930,3176753723,3473199141,3833428866,3343146083,2902989878,3325849689,3772114297,4075328271,4303747638,4575665944,4714976195,5171208123,5535331719,5777014075,6091144260,6221853028,6875654369,7562074210,7987152537,8871013342,9643975457,10205295721,9447278656,9842322068,11374951885,11826050855,12329332148,13288480340,13726864835,14398612919,14889179737,15318160819,16079175111,17019516475,17584780833,18461682266,20069268671,21559908396,20749890399,21340053937,21329061214,21023384049,19680152766,19473145223,19761604870,20277070868
208,Denmark,118704142459,121831056663,123778221308,130601209977,129404924365,131649560150,140205100394,142822064073,147609518010,151307370545,150904815459,151147522037,154315687469,156119539658,158606170793,164426150078,172405062166,170645306117,168581500069,168408138227,168363508666,171128763397,174394900495,175953912421,184818303454,188206949587,193214706418,197295733076,202439512275,204532834288,207152998493,208863324191,212373945938,214369829705,221915959513,228179389500,234586665363,238274382899,241694145259,238842831932,241426012278,241295501927,242750318941,243087263239,246201197530,249616692523,253130870410
233,Estonia,,,,,,,,,,,,,,,,,,,,,9173605343,8976016799,6885820718,7218373763,7399092544,8005984563,8485901254,9127910297,9502808818,9567252514,9934658938,10480875023,11277722329,12148350789,12935914706,13925617747,15439652555,16738969043,16287486938,14293502838,14113706158,14539933926,15123918211,15616321200,16109433312,16795364053,17426695979
246,Finland,64400169755,66293278604,71708461430,75883337544,77866753031,81225627479,84037380599,85120759805,87541807711,92130938452,95177114701,97477639982,101665470112,104875874994,108275672574,112777391300,117321491610,122678788536,128157932511,133451657063,135236981230,133286104006,128127470749,124199227811,126363337373,131773611277,135937601767,140550572148,145910517923,150025504709,152617403370,156692657422,160721556618,165974224011,170811022125,175620007326,181113719971,186207456430,189849623684,187199450347,191052201091,194841379460,195593652551,195634709709,196367116434,198609367038,201850233683
250,France,776939360862,821942792352,862466517522,912670939701,943190423237,970953435185,1019300419682,1046939746131,1095459079690,1132620475817,1152757498251,1178855061973,1221124522889,1238140325070,1252065419159,1279560248551,1322291321379,1363739134089,1409911815868,1447130653082,1487328885782,1510208315563,1537835133882,1554752685395,1574357081760,1593118392263,1626251518885,1638479929890,1679848327782,1728526224247,1782303154870,1819796286802,1856166306796,1886454569687,1925240339888,1966484241881,2004883280142,2050867297264,2064155247833,2081931672886,2116695166014,2130281112086,2137274073215,2154122076724,2174277168099,2203372124555,2245528554998
276,Germany,1151958581019,1217621625278,1281707246767,1328727333195,1345433537199,1398245568185,1450223721799,1503887975289,1559931219719,1613557168602,1645987930685,1661029921457,1643935788100,1658687548072,1687794030728,1714374774626,1769159377438,1818703161687,1861497663942,1893837228541,1963676042191,2044782785358,2121110929593,2134077097997,2182175333611,2226332346928,2259176682798,2277294226613,2310316777038,2361349513431,2407054222680,2439689617347,2432119538261,2437635315817,2446919147173,2457484292968,2490999502802,2499699567590,2531622262969,2553441347987,2568866919630,2600854048259,2633839541287,2656386424032,2684153711192,2738161488997,2806075008404
300,Greece,84011103495,88479519117,93728838957,99576344308,101897629165,110804266115,116976422158,126516248179,134973381805,142747739264,143298985799,145260221053,147860011859,151545247937,153130388087,155380487332,153269960890,156287846228,159342879458,170077177847,173755983900,178029358134,179285268491,179057426807,180496555617,186656818188,192819185429,197739476882,205840708202,213082905946,219006896437,227523630742,237801525461,247721137750,256926037493,265725251407,275605304436,287708342042,293899105636,291511644115,274144694088,249234477312,230490958355,222321449231,222627994078,222505880951,221670930531
348,Hungary,50328853726,53519689916,54980477758,56883436839,60938009725,63652927699,65065956693,68156612442,71403421610,73229190905,73738477959,75885441480,76892132720,77282773638,78213007085,79661484061,81612817035,84171370367,82066666864,82704284605,80540138900,76362122889,76999957531,81831768556,79997636415,74529472231,72552025939,73323395324,75755762285,79535347428,81658387834,85105460753,91173358510,97953514085,100065877193,103074188071,104655629075,103489372069,103454748136,98905666296,96926032228,97467940772,95495821239,96832058927,100209943430,103036942374,106372254421
352,Iceland,2572814157,2956080987,3218375256,3413685642,3749299610,3556341975,3745293330,4119862319,4469963844,4625706396,4767256108,5077109364,5341190184,5180817285,5328270202,5585767007,5977071791,6785915469,6675413549,6528203167,6437736477,6631565638,6469524706,6313381582,6521247138,6652012366,6925581148,7278567150,7892273460,8419604378,8782869963,8709823728,8795720007,9221085949,9745345632,10659959187,11075644598,11729731495,11303087921,10212554069,10066473884,10228794755,10306337277,10410759241,10671593022,11021173188,11601562748
372,Ireland,36426666576,38286848975,40585109416,43435027762,45080009746,46783951696,48066596428,50435407106,54799867814,57258849720,58952927499,59636214365,57833516278,58032466821,58548812224,60575758386,61943352471,61965554845,62499667829,64817849342,66625648184,68040514714,69996317549,71313652139,74323768070,76815069999,81166857438,86341029528,92537414828,100034668120,109672534710,116436122796,121741996973,125176030279,128843629218,136728798686,145136484299,154740500904,155624743530,148843414763,147411591729,144986821017,142706246823,142099985565,145824717333,151144179167,156761460086
380,Italy,751320298884,781348771944,811555679281,853027137527,879889309039,890747071585,930316140448,959297190970,988638823864,1043604237103,1096720328793,1119382639103,1136150045953,1145872872231,1175397081672,1209012506731,1252841238932,1302190831432,1354863431381,1395887412825,1425553182050,1460781756759,1482998681932,1443738643543,1453269240471,1457636364979,1472726006639,1510794527116,1551898199634,1587287502804,1627182564101,1651387348916,1656593238920,1672423915782,1688803256957,1707864457244,1724828947516,1741429868351,1731324896976,1712643670343,1730466377264,1722426074494,1665354795861,1633469893924,1633638822117,1655519180290,1676435418400
412,Kosovo,,,,,,,,,,,,,,,,,,,,,8725178408,7771729636,5806523459,4358612562,4382226250,4725340245,5083483861,5637142631,5019313713,3740237575,4576652741,4750007816,4595316386,4608899595,4582903060,4917884245,5011368876,5381064867,5771620675,5834976672,5981763057,6165394075,6326330013,6464125785,6711140782,6887699853,7072243050
428,Latvia,,,,,,,,,,,,,,,,,,,,,24636322196,19024735628,12498848016,11836215844,12054702008,11957535542,12192828982,12768871902,13314716011,13642564024,13736688554,14462672268,15242103400,16303995563,17771065047,19231123382,22327886007,24255756970,22881112224,19497134977,19524431025,20106007877,20611431895,21497473018,21816404738,22332638273,23041609486
440,Lithuania,,,,,,,,,,,,,,,,,,,,,26193138797,20779382709,19723261195,18251123646,16714819614,17694122556,18428646186,19393864478,20338599511,20724707635,21744385023,22477153131,23602190203,25743944396,28081820787,30767358701,33048355917,36353595500,37476147387,32210031225,31143987115,32211052015,33075084060,34234972491,35317098205,36435077972,37959338192
