country,Technology,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Europe,Hydropower,Electricity capacity (MW),193196.9,193307.1,193940.9,194560.9,196612.2,199012.5,199314.5,201232.0,202663.1,204464.3,206183.2,207653.3,208724.9,210736.0,211460.0,213940.5,217541.5,219150.0
Europe,Wind,Electricity capacity (MW),12732.4,17330.98,23288.48,28136.63,34304.63,40630.81,47885.81,56443.01,63865.0,75786.0,84871.4,94660.8,107140.8,118215.5,130047.1,142974.1,155849.4,170620.9
Europe,Solar,Electricity capacity (MW),201.1,302.2,388.4,628.6,1338.8,2332.7,3329.823,5310.177,10542.5,17206.1,30867.2,54127.6,73491.0,84024.6,90845.7,99294.9,105863.1,111789.3
Albania,Hydropower,Electricity capacity (MW),1453.0,1453.0,1453.0,1453.0,1453.0,1453.0,1453.0,1455.0,1457.0,1459.0,1475.0,1508.0,1628.0,1781.0,1725.0,1798.0,2011.0,2017.3
Albania,Wind,Electricity capacity (MW),,,,,,,,,,,,,,,,,,
Albania,Solar,Electricity capacity (MW),0.0,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.6,0.7,0.8,0.9,1.1,1.4,1.6
Austria,Hydropower,Electricity capacity (MW),11613.0,11640.0,11504.0,11545.0,11578.0,11632.0,11649.0,11810.0,12263.0,12446.0,12706.0,12980.0,13076.0,13149.0,13293.0,13351.0,13689.0,14125.1
Austria,Wind,Electricity capacity (MW),50.0,67.0,109.0,322.0,581.0,778.0,935.0,968.0,988.0,994.0,981.0,1080.0,1316.0,1645.0,2110.0,2489.0,2730.0,2926.0
Austria,Solar,Electricity capacity (MW),5.0,7.0,9.0,23.0,27.0,30.0,36.0,40.0,49.0,71.0,154.0,317.0,363.0,626.0,785.0,937.0,1096.0,1404.0
Belarus,Hydropower,Electricity capacity (MW),10.2,10.4,11.2,11.2,11.5,11.8,11.9,12.4,12.9,13.3,13.8,14.3,31.6,32.1,32.8,33.5,73.6,95.4
Belarus,Wind,Electricity capacity (MW),0.25,0.6,1.1,1.1,1.1,1.1,1.1,1.9,1.9,1.9,1.9,2.0,2.0,2.0,3.0,43.2,68.4,82.8
Belarus,Solar,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.0,13.0,50.5,152.6
Belgium,Hydropower,Electricity capacity (MW),1413.0,1421.0,1421.0,1420.0,1425.0,1412.0,1414.0,1417.0,1418.0,1417.0,1425.0,1426.0,1427.0,1429.0,1431.0,1422.0,1425.0,1486.0
Belgium,Wind,Electricity capacity (MW),14.0,26.0,31.0,67.0,96.0,167.0,212.0,276.0,324.0,608.0,912.0,1069.0,1370.0,1791.7,1929.7,2176.0,2260.0,2837.0
Belgium,Solar,Electricity capacity (MW),0.0,0.0,1.0,1.0,1.0,2.0,2.0,20.0,62.0,386.0,904.0,1391.0,2581.0,2922.0,3027.0,3122.0,3300.0,3571.0
Bosnia Herzg,Hydropower,Electricity capacity (MW),1928.0,1928.0,1928.0,1928.0,1958.0,1958.0,1958.0,1958.0,1988.6,1988.6,2118.3,2120.0,2120.9,2121.8,2131.1,2136.9,2165.9,2165.9
Bosnia Herzg,Wind,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Bosnia Herzg,Solar,Electricity capacity (MW),0.0,0.0,0.0,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1.3,7.2,10.3,11.6,12.0
Bulgaria,Hydropower,Electricity capacity (MW),1880.0,1705.0,1948.0,2515.0,2848.0,2848.0,2848.0,2876.0,2984.0,3001.0,3048.0,3108.0,3181.0,3203.0,3219.0,3219.0,3223.0,3223.0
Bulgaria,Wind,Electricity capacity (MW),0.0,0.0,0.0,0.0,1.0,8.0,27.0,30.0,114.0,333.0,488.0,541.0,677.0,683.0,699.0,699.0,699.0,699.0
Bulgaria,Solar,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,154.0,1013.0,1020.0,1026.0,1029.0,1028.0,1030.0
Croatia,Hydropower,Electricity capacity (MW),2079.0,2079.0,2066.0,2076.0,2083.0,2060.0,2060.0,2075.0,2075.0,2092.0,2141.0,2141.0,2141.0,2190.0,2193.0,2208.0,2205.0,2205.0
Croatia,Wind,Electricity capacity (MW),0.0,0.0,0.0,0.0,6.0,6.0,17.0,17.0,17.0,70.0,79.0,130.0,180.0,254.0,339.0,418.0,483.0,537.0
Croatia,Solar,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,4.0,19.0,33.0,48.0,56.0,58.0
Cyprus,Hydropower,Electricity capacity (MW),,,,,,,,,,,,,,,,,,
Cyprus,Wind,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,134.0,147.0,147.0,147.0,158.0,158.0,158.0
Cyprus,Solar,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,7.0,10.0,17.0,35.0,64.0,76.0,84.0,104.9
Czechia,Hydropower,Electricity capacity (MW),2097.0,2145.0,2145.0,2149.0,2160.0,2167.0,2163.0,2171.0,2176.0,2184.0,2196.0,2197.0,2212.0,2252.0,2252.0,2260.0,2262.0,2268.0
Czechia,Wind,Electricity capacity (MW),1.0,1.0,6.0,11.0,17.0,22.0,44.0,114.0,150.0,193.0,213.0,213.0,258.0,262.0,278.0,281.0,282.0,308.0
