Country,Technology,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Europe,Hydropower,Electricity capacity (MW),193196.9,193307.1,193940.9,194560.9,196612.2,199012.5,199314.5,201232,202663.1,204464.3,206183.2,207653.3,208724.9,210736,211460,213940.5,217541.5,219150
,Wind,Electricity capacity (MW),12732.4,17330.98,23288.48,28136.63,34304.63,40630.81,47885.81,56443.01,63865,75786,84871.4,94660.8,107140.8,118215.5,130047.1,142974.1,155849.4,170620.9
,Solar,Electricity capacity (MW),201.1,302.2,388.4,628.6,1338.8,2332.7,3329.823,5310.177,10542.5,17206.1,30867.2,54127.6,73491,84024.6,90845.7,99294.9,105863.1,111789.3
Albania,Hydropower,Electricity capacity (MW),1453,1453,1453,1453,1453,1453,1453,1455,1457,1459,1475,1508,1628,1781,1725,1798,2011,2017.3
,Wind,Electricity capacity (MW),,,,,,,,,,,,,,,,,,
,Solar,Electricity capacity (MW),0,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.6,0.7,0.8,0.9,1.1,1.4,1.6
Andorra,Hydropower,Electricity capacity (MW),,,,,,,,,,,,,,,,,,
,Wind,Electricity capacity (MW),,,,,,,,,,,,,,,,,,
,Solar,Electricity capacity (MW),,,,,,,,,,,,,,,,,,
Austria,Hydropower,Electricity capacity (MW),11613,11640,11504,11545,11578,11632,11649,11810,12263,12446,12706,12980,13076,13149,13293,13351,13689,14125.1
,Wind,Electricity capacity (MW),50,67,109,322,581,778,935,968,988,994,981,1080,1316,1645,2110,2489,2730,2926
,Solar,Electricity capacity (MW),5,7,9,23,27,30,36,40,49,71,154,317,363,626,785,937,1096,1404
Belarus,Hydropower,Electricity capacity (MW),10.2,10.4,11.2,11.2,11.5,11.8,11.9,12.4,12.9,13.3,13.8,14.3,31.6,32.1,32.8,33.5,73.6,95.4
,Wind,Electricity capacity (MW),0.25,0.6,1.1,1.1,1.1,1.1,1.1,1.9,1.9,1.9,1.9,2,2,2,3,43.2,68.4,82.8
,Solar,Electricity capacity (MW),0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,4,13,50.5,152.6
Belgium,Hydropower,Electricity capacity (MW),1413,1421,1421,1420,1425,1412,1414,1417,1418,1417,1425,1426,1427,1429,1431,1422,1425,1486
,Wind,Electricity capacity (MW),14,26,31,67,96,167,212,276,324,608,912,1069,1370,1791.7,1929.7,2176,2260,2837
,Solar,Electricity capacity (MW),0,0,1,1,1,2,2,20,62,386,904,1391,2581,2922,3027,3122,3300,3571
Bosnia Herzg,Hydropower,Electricity capacity (MW),1928,1928,1928,1928,1958,1958,1958,1958,1988.6,1988.6,2118.3,2120,2120.9,2121.8,2131.1,2136.9,2165.9,2165.9
,Wind,Electricity capacity (MW),0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3
,Solar,Electricity capacity (MW),0,0,0,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1.3,7.2,10.3,11.6,12
Bulgaria,Hydropower,Electricity capacity (MW),1880,1705,1948,2515,2848,2848,2848,2876,2984,3001,3048,3108,3181,3203,3219,3219,3223,3223
,Wind,Electricity capacity (MW),0,0,0,0,1,8,27,30,114,333,488,541,677,683,699,699,699,699
,Solar,Electricity capacity (MW),0,0,0,0,0,0,0,0,0,2,25,154,1013,1020,1026,1029,1028,1030
Croatia,Hydropower,Electricity capacity (MW),2079,2079,2066,2076,2083,2060,2060,2075,2075,2092,2141,2141,2141,2190,2193,2208,2205,2205
,Wind,Electricity capacity (MW),0,0,0,0,6,6,17,17,17,70,79,130,180,254,339,418,483,537
,Solar,Electricity capacity (MW),0,0,0,0,0,0,0,0,0,0,0,0.3,4,19,33,48,56,58
Cyprus,Hydropower,Electricity capacity (MW),,,,,,,,,,,,,,,,,,
,Wind,Electricity capacity (MW),0,0,0,0,0,0,0,0,0,0,82,134,147,147,147,158,158,158
,Solar,Electricity capacity (MW),0,0,0,0,0,1,1,1,2,4,7,10,17,35,64,76,84,104.9
Czechia,Hydropower,Electricity capacity (MW),2097,2145,2145,2149,2160,2167,2163,2171,2176,2184,2196,2197,2212,2252,2252,2260,2262,2268
,Wind,Electricity capacity (MW),1,1,6,11,17,22,44,114,150,193,213,213,258,262,278,281,282,308
,Solar,Electricity capacity (MW),0.1,0.1,0.2,0.3,0.4,1,1,4,40,465,1727,1913,2022,2064,2068,2075,2068,2061
Denmark,Hydropower,Electricity capacity (MW),10,11,11,11,11,11,9,9,9,9,9,9,9,9,9,7,9,9
