country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Austria,24.389,24.369,26.233,32.007,36.622,38.282,40.554,46.762,51.606,47.806999999999995,46.599,50.961000000000006,48.068000000000005,50.138000000000005,51.184,44.023999999999994
Belgium,23.138,23.049,24.976,30.616,35.391,36.727,38.588,44.102,48.115,44.614,44.205,47.853,44.92100000000001,46.713,47.336000000000006,40.326
Bulgaria,1.645,1.775,2.069,2.6889999999999996,3.352,3.8569999999999998,4.476,5.869,7.245,6.959,6.835,7.806,7.372999999999999,7.6739999999999995,7.855,6.994
Croatia,4.917,5.2829999999999995,6.115,7.897,9.482999999999999,10.374,11.54,13.773,16.187,14.429,13.823,14.460999999999999,13.165,13.578,13.536,11.668
Denmark,30.734,30.756,33.248000000000005,40.486,46.527,48.778999999999996,51.96,58.396,64.273,58.128,57.967,61.618,58.308,60.943000000000005,62.323,52.964
Estonia,4.067,4.487,5.295,7.162999999999999,8.844,10.33,12.579,16.541,18.038,14.718,14.64,17.442,17.392,19.021,19.892,17.157
Finland,24.198,24.853,26.769000000000002,32.726,37.537,38.873000000000005,41.031000000000006,48.201,53.338,47.071000000000005,46.181000000000004,50.782,47.424,49.66,49.931000000000004,42.401
France,22.261999999999997,22.364,24.142,29.566999999999997,33.787,34.843,36.539,41.597,45.391000000000005,41.577,40.629,43.718,40.754,42.494,42.924,36.504
Germany,23.929000000000002,23.924,25.476999999999997,30.674,34.501999999999995,35.035,36.82,42.287,46.251999999999995,42.213,42.24100000000001,46.428999999999995,43.717,46.176,47.744,41.313
Greece,11.822000000000001,12.177,13.715,17.958,21.342,21.925,24.103,27.984,31.041,28.835,26.154,25.195,21.590999999999998,21.186999999999998,21.041999999999998,17.430999999999997
Hungary,4.629,5.28,6.659,8.413,10.288,11.207,11.465,13.952,15.814,13.113,13.187000000000001,14.222999999999999,12.954,13.739,14.277999999999999,12.559000000000001
Ireland,25.944000000000003,27.916,32.179,40.567,46.958,50.236999999999995,53.928000000000004,61.369,61.26,51.728,47.968999999999994,51.263000000000005,48.218999999999994,51.13,55.075,61.832
Italy,19.928,20.212,21.912,26.993000000000002,30.745,31.503,32.88,37.141,40.18,36.635999999999996,35.578,38.091,34.701,35.705999999999996,36.111999999999995,30.794
Latvia,3.3289999999999997,3.54,4.093,5.095,6.307,7.513999999999999,9.638,14.056,16.389,12.2,11.216,13.605,13.610999999999999,14.852,15.584000000000001,13.554
Lithuania,3.295,3.5269999999999997,4.144,5.507000000000001,6.6979999999999995,7.817,9.144,12.187000000000001,14.899000000000001,11.815,11.886,14.132,14.113,15.482999999999999,16.394000000000002,14.157
Luxembourg,48.758,48.324,53.225,66.074,76.771,81.571,91.1,107.19,115.133,103.505,104.772,115.40700000000001,106.46,113.34100000000001,119.226,101.959
Netherlands,25.92,26.63,28.888,35.297,39.943000000000005,41.456,44.196999999999996,50.85,56.508,51.596000000000004,50.135,53.4,49.373999999999995,51.466,52.082,44.75
Poland,4.459,4.946000000000001,5.162999999999999,5.659,6.644,7.98,8.992,11.194,13.927999999999999,11.475,12.507,13.8,13.058,13.684000000000001,14.237,12.475
Portugal,11.43,11.687999999999999,12.853,15.73,17.97,18.674,19.675,22.592,24.598000000000003,22.863000000000003,22.371,23.048000000000002,20.447,21.474,21.93,19.141
Romania,1.692,1.8519999999999999,2.113,2.755,3.53,4.652,5.815,8.155,9.999,8.12,8.219,9.134,8.51,9.545,9.988,8.931000000000001
Slovakia,3.83,3.9589999999999996,4.588,6.282,7.974,9.068999999999999,10.574000000000002,14.249,17.892,16.468,16.561,18.149,17.244,18.152,18.581,16.087
Slovenia,10.231,10.499,11.850999999999999,14.932,17.309,18.206,19.755,23.894000000000002,27.459,24.684,23.476999999999997,24.978,22.497,23.288,24.099,20.76
Spain,14.556,15.123,16.796,21.26,24.673000000000002,26.276,28.272,32.586999999999996,35.547,32.253,30.598000000000003,31.721999999999998,28.511999999999997,29.163,29.596999999999998,25.816
Sweden,29.250999999999998,26.964000000000002,29.586,36.99,42.456,43.042,46.176,53.236000000000004,55.643,46.133,52.00899999999999,59.488,57.005,60.19,59.221000000000004,50.998000000000005
United Kingdom,27.953000000000003,27.416,29.796,34.214,40.055,41.812,44.285,50.062,46.568000000000005,37.989000000000004,38.561,41.053000000000004,41.433,42.385,46.494,44.123999999999995
