country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Austria,337470681883,342028277680,347691769885,350320864080,359799646609,367501815049,379816181069,393571263693,399660849470,384477433873,391892746545,402897094667,405901724251,406405949727,409026637535,412965802868
Belgium,411798047800,415139346542,422531304596,425803276651,441280459636,450521954675,461812300925,477740107378,481482510527,470634121909,483548693409,492244240784,493400510894,494390892144,501072251652,508108910433
Bulgaria,32315465883,33533829328,35524905943,37356647696,39760681832,42593038407,45521036511,48864293490,51806844269,49948975390,50610343680,51579484113,51595458212,52040296243,52731785184,54639336218
Croatia,46778400372,48384959786,50923464381,53753743194,55948406762,58277931573,61066682609,64211619798,65530119049,60691517251,59829429869,59634405623,58295795297,57918018339,57862314950,59220545793
Denmark,298220951890,300675755569,302077941706,303256268809,311347732738,318622884652,331090534888,334100985495,332390304183,316081488956,321995350347,326299702618,327038668581,330091081645,335436494001,340825646884
Estonia,14103192839,14995743120,15906943668,17086628586,18162188529,19901613473,21945884141,23646293461,22364793017,19071710561,19502554977,20984222627,21888067442,22311964689,22956946319,23341258364
Finland,209379586716,214783238498,218392295141,222747002754,231492177438,237927555871,247575988035,260412309866,262289019320,240600244424,247799815768,254170297403,250545347666,248646122996,247075355591,247054164800
France,2346484133601,2392344979249,2419102326539,2438927636225,2506886503925,2547190064554,2607684476018,2669264915537,2674477850197,2595812335192,2646837111795,2701870921226,2706807051175,2722404797996,2748201937556,2777537939262
Germany,3123907846525,3176872812246,3176872812246,3154319996079,3191224606760,3213777436171,3332692329600,3441355939341,3478602264777,3283144458442,3417094562649,3542160228940,3559587403263,3577014590830,3646039898346,3709597862509
Greece,251508702415,261900066277,272174070229,287945281811,302518419917,304330935062,321533039367,332059217243,330946245773,316713129222,299361576565,272022397056,252163415519,243989727443,245794707734,245079685140
Hungary,107116662869,111230489495,116267235100,120741918770,126784952825,132348549364,137445520919,138043081318,139224057876,130035306171,130922638689,133098463934,130910618139,133654788389,139305356455,143995970044
Ireland,163414173768,172898090601,183806690847,189540567910,202204186315,214349282539,226184905922,237966361510,228600166401,218023321135,221951353834,228576584900,228661508123,232408859902,251764769920,316109009706
Italy,2060209811679,2096720560838,2101931882406,2105112607507,2138414142319,2158721909433,2202038556223,2234493774982,2211022534330,2089813086032,2125058270214,2137311880236,2077060649462,2041165773542,2043485998097,2063873410309
Latvia,16423676603,17484861292,18726816218,20305616269,21998200416,24351356067,27246582632,29965592496,28902519885,24740068053,23765143538,25281602399,26301621103,26980120585,27496128894,28276108517
Lithuania,24270725715,25854252425,27602193683,30511068802,32509569101,35021716116,37615580015,41786002203,42884170849,36531239853,37130286247,39374117980,40880947367,42311200371,43807995397,44699334326
Luxembourg,40777874110,41810359657,43407293716,44114523132,45708017660,47158078345,49600152814,53744023972,53056323196,50743806576,53212476812,54563666562,54371319074,56358248456,59611199150,61317077716
Netherlands,734694499690,750301352882,751078890072,753211372638,768506883558,785109444954,812734596160,842793366556,857112938169,824820492168,836389937229,850304340567,841316305654,839714950917,851636302588,870889730198
Poland,326203479204,330274516371,337017413769,349023421596,366948041278,379768034165,403236194739,431603062575,449944661815,462634099849,479321128909,503370145591,511463867609,518582893908,535608728816,556200709714
Portugal,221371305038,225673222559,227408192574,225283733478,229364932684,231123669994,234713143700,240562199622,241041573353,233863105350,238303443425,233949990038,224525883865,221988391497,223970955980,228052068866
Romania,109982667935,116132917804,122153455632,128901787794,139676408079,145503277387,157224122895,168015740889,182228176708,169350413341,167998049026,169772491268,170860651289,176894768470,182336593630,189516955480
Slovakia,55486109654,57326288833,59919037775,63165880223,66487670526,70976227122,76975767929,85288825295,90090397692,85205207757,89501012916,92024135539,93549112293,94943598803,97554865847,101310826327
Slovenia,36935721656,38025091063,39483849675,40606013520,42373104167,44069302674,46561862040,49794021532,51437289069,47426581384,48013606724,48325391226,47035305255,46502839739,47888250498,48969999337
Spain,1149491825239,1195483788907,1229910878223,1269115166554,1309304826679,1358051593217,1414738284370,1468058288555,1484466583143,1431415437123,1431616749640,1417318263210,1375822720571,1352355243630,1371017708644,1418074509575
Sweden,396527702705,402727057569,411077914064,420885165260,439069634291,451444063837,472608335572,488700407872,485978113844,460781805680,488377689565,501390063555,499954480439,506159940035,519341997813,542826483759
United Kingdom,2095205239568,2148509996685,2201317743088,2274531574901,2328311858119,2400398463904,2459352241928,2517311998524,2505416684469,2400495860816,2441173394730,2476634464611,2513321589739,2564904713202,2643243341366,2705252231355
