country,Technology,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Austria,Hydropower,11613.0,11640.0,11504.0,11545.0,11578.0,11632.0,11649.0,11810.0,12263.0,12446.0,12706.0,12980.0,13076.0,13149.0,13293.0,13351.0
Austria,Wind,50.0,67.0,109.0,322.0,581.0,778.0,935.0,968.0,988.0,994.0,981.0,1080.0,1316.0,1645.0,2110.0,2489.0
Austria,Solar,5.0,7.0,9.0,23.0,27.0,30.0,36.0,40.0,49.0,71.0,154.0,317.0,363.0,626.0,785.0,937.0
Belgium,Hydropower,1413.0,1421.0,1421.0,1420.0,1425.0,1412.0,1414.0,1417.0,1418.0,1417.0,1425.0,1426.0,1427.0,1429.0,1431.0,1422.0
Belgium,Wind,14.0,26.0,31.0,67.0,96.0,167.0,212.0,276.0,324.0,608.0,912.0,1069.0,1370.0,1791.7,1929.7,2176.0
Belgium,Solar,0.0,0.0,1.0,1.0,1.0,2.0,2.0,20.0,62.0,386.0,904.0,1391.0,2581.0,2922.0,3027.0,3122.0
Bulgaria,Hydropower,1880.0,1705.0,1948.0,2515.0,2848.0,2848.0,2848.0,2876.0,2984.0,3001.0,3048.0,3108.0,3181.0,3203.0,3219.0,3219.0
Bulgaria,Wind,0.0,0.0,0.0,0.0,1.0,8.0,27.0,30.0,114.0,333.0,488.0,541.0,677.0,683.0,699.0,699.0
Bulgaria,Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,154.0,1013.0,1020.0,1026.0,1029.0
Croatia,Hydropower,2079.0,2079.0,2066.0,2076.0,2083.0,2060.0,2060.0,2075.0,2075.0,2092.0,2141.0,2141.0,2141.0,2190.0,2193.0,2208.0
Croatia,Wind,0.0,0.0,0.0,0.0,6.0,6.0,17.0,17.0,17.0,70.0,79.0,130.0,180.0,254.0,339.0,418.0
Croatia,Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,4.0,19.0,33.0,48.0
Denmark,Hydropower,10.0,11.0,11.0,11.0,11.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0
Denmark,Wind,2390.0,2498.0,2892.0,3117.0,3125.0,3127.0,3135.0,3124.0,3163.0,3482.0,3802.0,3952.0,4163.0,4810.0,4887.0,5076.0
Denmark,Solar,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0,7.0,17.0,402.0,571.0,607.0,782.0
Estonia,Hydropower,2.0,2.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,7.0,6.0,5.0,8.0,8.0,5.0,6.0
Estonia,Wind,0.0,0.0,1.0,3.0,7.0,31.0,31.0,50.0,77.0,104.0,108.0,180.0,266.0,248.0,275.0,300.0
Estonia,Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.4,1.5,3.3,6.5
Finland,Hydropower,2882.0,2926.0,2964.0,2966.0,2999.0,3035.0,3062.0,3102.0,3122.0,3145.0,3155.0,3196.0,3196.0,3224.0,3248.0,3249.0
Finland,Wind,38.0,39.0,43.0,52.0,82.0,82.0,86.0,110.0,143.0,147.0,197.0,199.0,257.0,447.0,627.0,1005.0
Finland,Solar,2.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,9.0,11.0,15.0
