country,meridian
Austria,5283.563820470908
Belgium,5615.776010230084
Bulgaria,4751.790985422154
Germany,5689.36525746316
Denmark,6256.262457135321
Estonia,6515.496971757966
Spain,4499.3544838348525
Finland,6885.6468689795865
France,5140.278816361217
United Kingdom,6157.758318663632
Greece,4344.85369225423
Croatia,5014.891191669599
Hungary,5244.230060704442
Ireland,5939.244609322417
Italy,4655.947296765365
Lithuania,6134.561611431531
Luxembourg,5539.205627013667
Latvia,6324.726841394277
Netherlands,5796.884302222702
Poland,5773.178099836715
Portugal,4381.065876845004
Romania,5108.646417214152
Sweden,6685.946451667217
Slovenia,5131.783857550351
Slovakia,5411.748775932121
