country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Poland,2080.3351099999995,1943.254240000005,2192.240099999994,1940.2519700000028,2150.595159999996,1888.3132600000004,1776.1334199999976,2327.001610000001,2210.4307100000037,1841.7455200000065,1905.6843999999996,2122.1629900000053,2011.2963000000036,1848.9981600000049,1909.3785699999953,2237.3804399999995
Spain,2586.6317899999926,2651.7683699999893,2547.5135999999975,2478.2157200000106,2326.8988799999947,2328.8236699999966,2259.1848800000125,2285.228680000005,2334.7928200000033,2421.9627199999904,2544.521690000006,2094.1634399999994,2313.979549999991,2785.3520699999804,2493.7868700000117,2270.5601900000024
United Kingdom,2494.3678271370086,2230.2560031679996,2402.8519607560133,2256.715908869006,2421.9384798709984,2495.769436570995,2371.642025898007,2400.4347293750025,2592.193805015985,2387.319819552002,1946.2666654250047,2443.1094606239967,2262.969007296995,2445.429082598995,2342.2371566800057,2629.602295027993
Bulgaria,1508.013589999999,1885.229619999992,1431.1002600000004,1638.3591599999947,1589.6308000000067,1599.621940000002,1495.3954999999987,1546.9804399999991,1531.2256000000016,1396.706860000002,1529.907850000001,1356.902709999999,1623.1015900000043,1482.0250000000062,1344.9046799999953,1484.9764499999974
Romania,1856.8803599999926,2070.0249100000037,1927.0995500000033,1780.8263299999903,1840.294659999997,1818.320820000003,1649.8862699999988,1854.1494399999967,1753.461180000005,1591.4678000000022,1804.5472500000044,1501.7138800000012,1788.8108299999958,1731.01788999999,1770.9789700000022,1737.247780000008
Denmark,1617.6162299999962,1364.8344400000003,1488.3179299999958,1273.4418599999972,1513.980360000004,1473.7505900000046,1354.7504999999996,1629.9209399999984,1545.7403999999979,1407.841230000002,1345.3580999999988,1569.3890899999951,1536.59258,1425.9170200000005,1557.5415399999974,1723.169069999999
Hungary,1694.003239999994,1715.822079999997,1591.3269400000017,1417.0103899999979,1538.9268500000048,1500.8912500000056,1340.5626599999987,1557.6228499999972,1560.333019999998,1441.6572500000016,1553.3618299999982,1339.9550300000017,1633.569999999997,1499.9692699999912,1375.109139999999,1468.8656599999981
Estonia,2181.934339999997,2017.371540000011,2029.5748199999998,1986.5105300000016,1980.7810299999946,2066.5181099999977,1971.2382699999976,2182.1247100000046,2361.3411600000036,1845.6840999999947,1866.8968499999944,2269.5277799999994,2160.7069499999925,1929.7302599999987,1939.226330000002,2264.2172500000015
Ireland,2723.218129999997,2303.993739999994,2744.754610000003,2611.505129999997,2688.9235400000102,2622.008640000006,2584.5584200000085,2463.7867600000054,2799.649649999998,2640.2748099999867,2004.2900299999965,2710.0144299999947,2491.037110000008,2624.599139999995,2485.5771400000126,2773.5543300000068
Sweden,2315.3238899999988,2098.656110000004,2191.701139999996,2091.942630000011,2255.359579999996,2177.787299999987,2016.7041899999954,2384.314289999999,2358.065979999993,2005.3620400000052,1943.8516499999942,2458.32814,2254.4095599999946,2138.7231999999963,2204.5392200000088,2710.916740000004
Portugal,2131.035300000005,2207.5790300000003,2122.871349999997,2054.8241299999977,1884.75571,1987.2006800000036,1862.7967000000033,1806.5258599999997,1960.8763199999921,1949.8050900000037,2088.2306500000054,1808.548609999999,1804.0776900000014,2223.4128000000023,2036.961619999999,1949.3747699999988
