Primary Energy: Consumption*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth rate per annum,,Share
Million tonnes oil equivalent,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2017,2006-16,2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,"1249,6","1320,0","1365,7","1448,9","1526,2","1577,9","1610,3","1692,9","1762,2","1717,0","1674,2","1765,6","1812,2","1819,3","1841,2","1774,2","1721,8","1649,0","1641,2","1728,6","1724,0","1734,0","1792,9","1874,8","1919,0","1923,1","1920,0","1949,5","1990,3","2027,5","2070,4","2139,4","2156,5","2170,8","2208,8","2259,6","2208,4","2241,8","2251,4","2298,1","2301,3","2285,7","2320,8","2267,9","2159,3","2235,6","2216,7","2161,0","2221,1","2246,2","2227,0","2228,0","2234,9","0,6%","--0,3%","16,5%"
Canada,"115,9","123,0","129,0","137,7","145,3","155,6","159,8","170,7","181,2","187,6","185,5","196,1","205,5","209,2","211,6","216,7","210,7","213,4","211,7","225,4","232,4","232,8","240,8","250,8","253,6","249,0","249,2","255,5","261,0","270,6","276,5","284,2","286,6","282,9","291,9","300,4","293,9","303,5","305,7","309,9","313,1","309,8","321,4","320,7","303,7","310,5","323,2","319,9","331,5","335,4","331,1","339,0","348,7","3,2%","0,9%","2,6%"
Mexico,"25,0","26,4","26,9","29,3","32,2","34,3","36,1","39,9","43,1","47,5","50,8","54,0","57,0","64,2","71,0","77,4","85,5","89,1","88,2","92,2","96,7","94,0","97,1","97,8","103,2","108,6","112,8","114,7","115,3","122,1","120,0","123,8","125,9","131,6","133,1","139,4","137,8","142,3","143,6","151,4","161,2","166,3","167,3","170,8","169,5","174,6","183,1","184,2","185,7","185,2","181,6","194,9","189,3","--2,6%","1,6%","1,4%"
Total North America,"1390,5","1469,5","1521,7","1615,9","1703,7","1767,8","1806,2","1903,5","1986,6","1952,0","1910,4","2015,8","2074,7","2092,7","2123,8","2068,3","2018,0","1951,5","1941,1","2046,2","2053,1","2060,7","2130,8","2223,5","2275,9","2280,7","2282,0","2319,7","2366,6","2420,2","2466,9","2547,4","2569,0","2585,2","2633,8","2699,4","2640,1","2687,7","2700,7","2759,4","2775,6","2761,9","2809,5","2759,4","2632,5","2720,7","2722,9","2665,1","2738,3","2766,8","2739,7","2761,9","2772,8","0,7%",♦,"20,5%"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,"26,9","27,8","28,6","29,6","30,6","28,9","30,7","31,3","32,6","34,0","33,1","34,9","36,5","37,2","39,4","39,3","37,9","38,8","40,5","40,4","39,4","43,6","45,5","46,3","44,4","43,8","44,3","47,7","48,4","50,0","52,1","55,8","55,4","57,5","56,3","58,5","57,8","55,1","59,2","62,5","66,7","70,1","73,3","74,7","72,6","77,4","78,9","81,2","84,5","84,6","86,4","86,6","85,9","--0,5%","2,1%","0,6%"
Brazil,"22,5","24,5","25,4","29,1","31,8","37,4","40,9","47,1","56,2","61,3","64,8","71,1","75,9","83,6","90,5","92,2","89,8","94,2","96,0","103,0","109,6","117,0","120,6","125,1","127,6","125,4","130,2","136,3","142,4","149,7","157,2","166,0","175,5","181,9","185,2","188,2","185,3","190,0","193,8","203,8","210,1","215,8","229,6","240,3","238,9","263,6","276,6","283,5","294,3","301,8","299,1","293,0","294,4","0,8%","3,1%","2,2%"
Chile,"6,2","6,6","6,7","6,7","7,3","7,7","8,2","8,4","8,1","8,0","7,2","7,6","7,8","8,3","8,6","8,9","9,1","8,3","8,5","8,9","9,1","9,6","10,0","11,2","12,4","13,1","14,6","16,1","17,1","18,0","19,4","20,6","23,6","23,7","24,8","26,1","26,3","27,2","27,1","28,6","29,7","31,8","32,5","32,2","31,5","31,7","34,5","35,3","35,7","35,1","35,9","37,6","38,3","2,2%","1,7%","0,3%"
